0,SansHead,NoEyes,,,,,,,
0,SansText,heh heh heh...that's your     fault isn't it?,,,,,,,,,,,,,,,,
0,SansHead,blueeye,,,,,,,,
0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
1.6,Platform,15,346,61,0,120,,
0.4,BoneVRepeat,133,356,40,0,120,41,15,1
1.2,Platform,-61,346,61,0,150,,
0.6,BoneV,150,286,100,0,300,
1.7,Platform,-61,346,61,0,180,,
0,BoneV,150,286,100,0,300,
1,BoneV,133,257,45,0,210,,
0,BoneV,119,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
1.2,BoneV,133,257,95,0,270,,
0.2,GasterBlaster,1,0,0,60,366,0,0.333,0.26666
1.7,EndAttack,,,,,,,
0,sanshead,blueeye,,,,,,
