0,SansHead,Lookleft,,,,,,,,,
0,SansText,you cant understand ho        w this feels.,,,,,,,,,
0,SansHead,blueeye,,,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,,,
0,HeartTeleport,320,310,,,,,,,,
0,heartmode,1,,,,,,,,,
0,BoneStab,1,55,1,7.5,,,,,,
0,BoneStab,3,55,1,7.5,,,,,,
0,GasterBlaster,1.5,0,0,260,100,90,0.5,12,0.6666,0.03333
,,,,,,,,,,,
0,GasterBlaster,1.5,0,0,380,100,90,0.5,12,0.6666,0.03333
,,,,,,,,,,,
0,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,100,,,,,,,
0.7,Platform,0,330,100,0,175,,,,,
0,,,,,,,,,,,
2,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,GasterBlaster,2.99,1,0,100,310,0,0.3,1,0.6666,0.03333
,,,,,,,,,,,
0,GasterBlaster,2.99,1,0,320,100,90,0.3,1,0.6666,0.03333
0,SansHead,ClosedEyes,,,,,,,,,
0,SansText,knowing that one day wi g  thout any warning. . .,,,,,,,,,
0,SansHead,Tired1,,,,,,,,,
0,SansText,its all going to be rese  g        t.,,,,,,,,,
0,SansHead,blueeye,,,,,,,,,
2.5,EndAttack,,,,,,,,,,
0,sanshead,blueeye,,,,,,,,,
